                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     63,                 1.0558,                  1.128,                 1.0174,                0.71532,                0.70213,                0.67154,                0.49274,                 1.2349,                 1.7152,                 1.0654,               0.003862,               0.003862,               0.003862
                     64,                  1.084,                0.94852,                 1.0149,                0.75855,                0.71123,                0.73486,                0.54471,                 1.2765,                 1.5749,                  1.022,               0.003763,               0.003763,               0.003763
                     65,                 1.0821,                0.85924,                0.99642,                0.75855,                0.71123,                0.73486,                0.54471,                 1.2765,                 1.5749,                  1.022,               0.003664,               0.003664,               0.003664
                     66,                 1.0959,                0.83981,                0.98604,                0.86371,                0.76147,                0.78372,                0.56508,                 1.2344,                 1.3517,                 1.0226,               0.003565,               0.003565,               0.003565
                     67,                0.97502,                0.76294,                0.94903,                0.86371,                0.76147,                0.78372,                0.56508,                 1.2344,                 1.3517,                 1.0226,               0.003466,               0.003466,               0.003466
                     68,                0.98437,                0.81751,                0.98431,                0.91099,                0.81235,                0.84432,                0.63557,                 1.1386,                 1.3393,                0.97061,               0.003367,               0.003367,               0.003367
                     69,                 1.0234,                0.84392,                 1.0002,                0.91099,                0.81235,                0.84432,                0.63557,                 1.1386,                 1.3393,                0.97061,               0.003268,               0.003268,               0.003268
                     70,                 1.0077,                0.77024,                0.94992,                 0.9131,                0.73134,                0.84856,                0.65074,                 1.0373,                 1.5214,                0.97084,               0.003169,               0.003169,               0.003169
                     71,                  1.019,                0.74851,                0.94958,                 0.9131,                0.73134,                0.84856,                0.65074,                 1.0373,                 1.5214,                0.97084,                0.00307,                0.00307,                0.00307
                     72,                 1.0068,                0.81098,                0.96059,                0.72495,                0.77778,                0.83982,                0.61036,                 1.1091,                   1.69,                 1.0264,               0.002971,               0.002971,               0.002971
                     73,                0.98311,                0.82214,                0.93838,                0.72495,                0.77778,                0.83982,                0.61036,                 1.1091,                   1.69,                 1.0264,               0.002872,               0.002872,               0.002872
                     74,                 1.0639,                0.81056,                0.98637,                0.74709,                0.77482,                0.84534,                0.61641,                 1.0737,                 1.7335,                0.98564,               0.002773,               0.002773,               0.002773
                     75,                 1.0495,                0.88259,                 0.9947,                0.74709,                0.77482,                0.84534,                0.61641,                 1.0737,                 1.7335,                0.98564,               0.002674,               0.002674,               0.002674
                     76,                 1.0521,                 0.8258,                0.96466,                0.81226,                0.78438,                 0.8295,                0.66508,                 1.0184,                 1.4503,                0.90828,               0.002575,               0.002575,               0.002575
                     77,                0.99358,                0.76423,                0.96111,                0.81226,                0.78438,                 0.8295,                0.66508,                 1.0184,                 1.4503,                0.90828,               0.002476,               0.002476,               0.002476
                     78,                0.99083,                0.86738,                 0.9516,                0.86387,                0.76547,                0.81545,                0.59512,                 1.2056,                 1.2236,                0.92348,               0.002377,               0.002377,               0.002377
                     79,                 1.1062,                 0.8786,                0.95593,                0.86387,                0.76547,                0.81545,                0.59512,                 1.2056,                 1.2236,                0.92348,               0.002278,               0.002278,               0.002278
                     80,                 1.1072,                0.78906,                 1.0135,                0.92749,                0.71494,                 0.7962,                0.54742,                 1.2593,                 1.1424,                 0.9313,               0.002179,               0.002179,               0.002179
                     81,                 1.0303,                0.80247,                0.93861,                0.92749,                0.71494,                 0.7962,                0.54742,                 1.2593,                 1.1424,                 0.9313,                0.00208,                0.00208,                0.00208
                     82,                 1.1032,                0.84152,                0.98664,                0.97618,                0.77778,                0.82845,                0.59051,                  1.141,                0.97601,                0.91294,               0.001981,               0.001981,               0.001981
                     83,                 1.0674,                0.82005,                0.97292,                0.97618,                0.77778,                0.82845,                0.59051,                  1.141,                0.97601,                0.91294,               0.001882,               0.001882,               0.001882
                     84,                 1.0765,                0.93872,                 1.0267,                  0.967,                0.77778,                0.83991,                0.64135,                 1.0169,                0.91323,                0.90206,               0.001783,               0.001783,               0.001783
                     85,                 1.0349,                0.75843,                0.97327,                  0.967,                0.77778,                0.83991,                0.64135,                 1.0169,                0.91323,                0.90206,               0.001684,               0.001684,               0.001684
